MFCC1_mean,MFCC2_mean,MFCC3_mean,MFCC4_mean,MFCC5_mean,MFCC6_mean,MFCC7_mean,MFCC8_mean,MFCC9_mean,MFCC10_mean,MFCC11_mean,MFCC12_mean,MFCC13_mean,MFCC1_std,MFCC2_std,MFCC3_std,MFCC4_std,MFCC5_std,MFCC6_std,MFCC7_std,MFCC8_std,MFCC9_std,MFCC10_std,MFCC11_std,MFCC12_std,MFCC13_std,Centroid_mean,Centroid_std,Bandwidth_mean,Bandwidth_std,Rolloff_mean,Rolloff_std,ZCR_mean,ZCR_std,RMS_mean,RMS_std,Contrast1_mean,Contrast2_mean,Contrast3_mean,Contrast4_mean,Contrast5_mean,Contrast6_mean,Contrast7_mean,Contrast1_std,Contrast2_std,Contrast3_std,Contrast4_std,Contrast5_std,Contrast6_std,Contrast7_std,Instrument
-169.1724243,142.0895844,-24.88032341,34.14110565,17.97847939,5.720815182,-5.698264122,-0.700418532,-7.092956543,2.697259188,-1.002932549,1.208713055,-1.117269754,22.74424553,15.20451355,11.17529678,7.984521389,8.973996162,6.584495544,7.069941044,9.054141045,8.536022186,8.769471169,6.466854572,5.107643604,6.152721882,1184.848704,210.1224832,1475.274696,106.7947514,2165.660494,328.1691011,0.066297326,0.021768404,0.165694192,0.078741357,16.37626122,21.55918392,25.65222036,24.17606611,24.73093413,21.36281319,48.82584577,3.86078975,3.843237822,4.51056613,2.861542865,2.96142713,1.823579785,5.432110522,cel
-154.9923706,126.6507492,-26.12993431,26.27467346,13.10585022,3.126191139,0.14312005,8.864169121,3.087024212,2.440329313,-8.264241219,-4.982025623,-14.13711166,37.96906662,20.95734406,8.301856995,9.865929604,11.24946976,10.22956944,8.649952888,6.434442997,8.035431862,7.764996052,7.317146301,6.550103664,8.186074257,1296.523499,270.9996447,1576.413365,158.6354992,2327.573618,381.88418,0.068922776,0.021310163,0.193963453,0.089126416,16.98043969,22.74640164,27.0882125,27.64519766,25.07957374,22.25945495,49.27750765,5.155488185,5.378474647,4.755709472,3.211148354,2.791834781,2.107186119,5.21308282,cel
-168.9452515,115.451767,-31.50405502,20.90509224,10.6605711,1.763292074,-8.335674286,-2.076678514,-5.405671597,5.017485142,-1.480892777,6.8071661,2.905110598,30.27320671,15.52343655,11.0499506,9.701322556,7.966410637,8.128656387,6.282618523,6.64919138,14.20017719,10.95862484,7.970653057,14.15011501,15.93908119,1441.664977,198.9114512,1627.21712,170.7870325,2482.6955,356.1318394,0.081689453,0.018050121,0.16865398,0.078287691,16.87985612,24.32735768,29.77156714,27.78629027,26.92390924,24.28258337,49.73938038,4.451614959,4.446575935,5.413035876,4.671619437,3.759436803,2.87534868,6.197473657,cel
-97.58542633,125.9097824,-20.34179115,31.49246025,6.542878628,4.134748936,-8.606092453,0.062835224,-5.1121912,-2.460746765,-5.867074966,0.771828532,2.92591095,46.37551117,24.60441399,6.717394352,7.504043102,5.210894108,5.25287962,6.11618042,5.818153381,6.82396698,5.399256706,5.276211262,6.723509789,5.009415627,1615.407736,342.2035866,1879.968318,251.7558879,3080.573167,635.2070537,0.081681941,0.022079753,0.154628992,0.062917933,15.22067729,17.80666782,20.1516045,20.01295962,22.19648374,21.04594341,47.43979824,3.763176454,3.748802491,3.280977901,3.197746063,3.671027475,2.433740737,4.542720299,cel
-88.74279022,116.1298752,-23.54582024,19.31109619,3.085200071,2.510531187,-7.585392475,1.388103366,-1.338071346,-0.548223019,-9.611471176,-2.103960752,3.807561636,33.91079712,27.20986938,10.08455372,5.811683655,5.514953613,6.428248405,7.623131275,6.706030846,5.19636631,4.838866711,7.623898029,6.936788082,6.408545017,1758.006124,374.9469446,1952.7325,286.5081672,3300.294659,731.1797442,0.089855018,0.030991673,0.181534603,0.067146197,18.66200417,17.79202863,21.72344485,22.06652868,24.05488583,21.90015423,48.76246629,4.871312013,3.849296579,4.644542931,4.217371645,4.190734068,2.52496559,4.797825511,cel
-81.00500488,103.2105179,-28.6042099,17.87888336,3.431499004,0.964702189,-8.432395935,1.793697357,-1.355662942,1.755424619,-5.049274921,-0.383291394,1.803363562,29.7879467,22.61105728,6.29977417,7.16904974,5.822211742,5.885033131,5.202905178,4.524992943,7.564856052,4.87098217,5.944422722,10.53555202,8.840572357,1931.520776,366.538562,2027.381452,230.9202409,3569.625338,691.509255,0.106411508,0.035078288,0.184243619,0.062929571,15.89643964,19.80038521,21.5989407,21.34502913,23.63600012,21.54484585,48.3895858,3.358176653,4.777085295,4.534135795,3.914469841,4.163773268,2.793770577,4.871500486,cel
-161.002243,134.235733,-31.48044586,70.22073364,1.376287341,13.78109741,-7.3416605,-3.164589643,-7.559636116,1.150835991,-1.589598894,-3.564331532,-1.957783341,60.25148773,24.48339844,15.54372311,7.300541878,9.761300087,8.178906441,4.516388893,6.171886444,5.399285316,5.964071274,4.106171131,4.593344688,4.710539818,1467.846507,205.0194222,1609.690773,250.9365002,3177.389761,563.4696813,0.07246845,0.015790536,0.170561686,0.080490611,18.26821942,15.83736759,27.55764833,24.79330853,24.40962282,23.01625181,48.87632694,4.971912926,4.28809925,4.27418867,3.210584884,2.927386724,4.635045846,5.076402928,cel
-145.5032196,146.1563416,-28.8986702,52.37629318,-3.586507082,8.997546196,-16.42754364,-8.795329094,-15.27853584,-1.342573047,-3.916459799,-8.366786003,-10.02724266,28.81934929,14.47296333,10.56022644,8.051800728,3.879567623,6.959904194,7.592257977,7.290005684,6.287747383,6.815970421,8.421095848,8.147729874,5.063685894,1263.823058,172.281348,1505.067063,169.1730486,2578.352614,402.4600627,0.055551382,0.014400768,0.190700412,0.084879063,15.3793861,20.7587846,24.76798272,24.28644563,22.18521702,19.79334082,48.50743205,5.006029061,3.690227621,4.369767686,2.827255181,2.940508422,2.649651643,5.750069657,cel
-142.2837372,132.8719177,-47.68224716,56.07676315,-2.896782875,5.511707306,-13.80966091,-11.44437122,-12.97975349,-0.112028383,-2.68053937,-9.558899879,-2.634891748,23.78510666,15.72567463,12.12743664,10.56102276,6.504140377,6.288824558,6.854314804,6.431513786,6.45610714,5.838824272,5.630532742,4.692503929,5.212145805,1439.249933,147.3806334,1470.352573,72.49396422,2900.688101,297.1533558,0.064640925,0.016031624,0.2045362,0.073140509,14.01154424,20.25359411,25.66121692,24.19438181,24.06029172,23.576816,48.44163812,4.1324897,4.666888101,5.095848421,3.915660175,3.263134683,2.891494116,5.992013132,cel
-108.3614349,111.903801,-20.91764259,25.67175102,6.515471935,0.683063984,-10.92885208,-3.004753113,-4.745995522,-0.418483853,-5.693622589,-0.579391718,2.270225048,50.34677124,16.4304657,8.987154007,7.021683693,5.863924503,6.674519062,5.826705456,7.448687077,9.465255737,5.570810318,5.538520813,6.075628281,5.631978035,1637.456514,286.991172,1929.276734,224.446419,3136.890775,574.8131511,0.071585787,0.021197991,0.187487856,0.068130374,16.45518624,23.4405337,24.38847971,23.38897828,24.21349296,22.77327558,46.54268579,4.292415302,4.974697859,3.843341678,3.533742994,3.405692372,2.686665801,5.049907832,cel
